Date,HomeTeam,AwayTeam,Bookmaker,BookmakerKey,Market,Outcome,Point,DecimalOdds,ManualSource
2026-08-30,Sunderland,Fulham,MyBookie.ag,mybookie_manual,totals,Over,2.5,2.01,screenshot_2026-08-26
2026-08-30,Sunderland,Fulham,MyBookie.ag,mybookie_manual,totals,Under,2.5,1.7142857143,screenshot_2026-08-26
2026-08-30,Leeds,Brentford,MyBookie.ag,mybookie_manual,h2h,Leeds,,2.49,screenshot_2026-08-26
2026-08-30,Leeds,Brentford,MyBookie.ag,mybookie_manual,h2h,Draw,,3.32,screenshot_2026-08-26
2026-08-30,Leeds,Brentford,MyBookie.ag,mybookie_manual,h2h,Brentford,,2.66,screenshot_2026-08-26
2026-08-30,Leeds,Brentford,MyBookie.ag,mybookie_manual,spreads,Leeds,-0.5,2.42,screenshot_2026-08-26
2026-08-30,Leeds,Brentford,MyBookie.ag,mybookie_manual,spreads,Brentford,0.5,1.5,screenshot_2026-08-26
2026-08-30,Leeds,Brentford,MyBookie.ag,mybookie_manual,totals,Over,2.5,1.8474576271,screenshot_2026-08-26
2026-08-30,Leeds,Brentford,MyBookie.ag,mybookie_manual,totals,Under,2.5,1.8620689655,screenshot_2026-08-26
2026-08-30,Man United,Ipswich Town,MyBookie.ag,mybookie_manual,h2h,Man United,,1.406504065,screenshot_2026-08-26
2026-08-30,Man United,Ipswich Town,MyBookie.ag,mybookie_manual,h2h,Draw,,4.7,screenshot_2026-08-26
2026-08-30,Man United,Ipswich Town,MyBookie.ag,mybookie_manual,h2h,Ipswich Town,,6.5,screenshot_2026-08-26
2026-08-30,Man United,Ipswich Town,MyBookie.ag,mybookie_manual,spreads,Man United,-1.5,2.08,screenshot_2026-08-26
2026-08-30,Man United,Ipswich Town,MyBookie.ag,mybookie_manual,spreads,Ipswich Town,1.5,1.6666666667,screenshot_2026-08-26
2026-08-30,Man United,Ipswich Town,MyBookie.ag,mybookie_manual,totals,Over,2.5,1.5813953488,screenshot_2026-08-26
2026-08-30,Man United,Ipswich Town,MyBookie.ag,mybookie_manual,totals,Under,2.5,2.23,screenshot_2026-08-26
2026-08-31,Aston Villa,Arsenal,MyBookie.ag,mybookie_manual,h2h,Aston Villa,,5.9,screenshot_2026-08-26
2026-08-31,Aston Villa,Arsenal,MyBookie.ag,mybookie_manual,h2h,Draw,,4.0,screenshot_2026-08-26
2026-08-31,Aston Villa,Arsenal,MyBookie.ag,mybookie_manual,h2h,Arsenal,,1.5128205128,screenshot_2026-08-26
2026-08-31,Aston Villa,Arsenal,MyBookie.ag,mybookie_manual,spreads,Aston Villa,1.5,1.5235602094,screenshot_2026-08-26
2026-08-31,Aston Villa,Arsenal,MyBookie.ag,mybookie_manual,spreads,Arsenal,-1.5,2.36,screenshot_2026-08-26
2026-08-31,Aston Villa,Arsenal,MyBookie.ag,mybookie_manual,totals,Over,2.5,1.7575757576,screenshot_2026-08-26
2026-08-31,Aston Villa,Arsenal,MyBookie.ag,mybookie_manual,totals,Under,2.5,1.9523809524,screenshot_2026-08-26
