GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,ModelWinProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ProbabilityEdge,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion
34,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.05,0.436350171568748,0.0,2.2917373823982734,0.48780487804878053,-0.05145470648003253,-0.10548214828406666,-10.548214828406666,1.0,Calibrated O/U 2.5,36.8175085784374,0.0,21.038576330535655,PASS,1.2501010184685135,1.0561814651850812,1-1,V1.2
35,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.76,0.430012842318729,0.0,2.325511941940543,0.5681818181818182,-0.13816897586308924,-0.2431773975190369,-24.317739751903687,1.0,Calibrated O/U 2.5,36.50064211593645,0.0,20.857509780535114,PASS,1.7601093221541944,1.2868222009334622,1-1,V1.2
36,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Moneyline,Chelsea,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.76,0.453968837795158,0.0,2.2027943698885006,0.5681818181818182,-0.11421298038666022,-0.20101484548052184,-20.101484548052184,0.88,"Derived, live validation building",35.898441889757905,0.0,20.513395365575942,PASS,1.9673349671036575,1.6261671135470963,1-1,V1.2
37,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Spread,Chelsea -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.75,0.453968837795158,0.0,2.2027943698885006,0.5714285714285714,-0.11745973363341339,-0.20555453385847344,-20.555453385847343,0.84,"Derived, live validation building",35.2984418897579,0.0,20.1705382227188,PASS,1.9673349671036575,1.6261671135470963,1-1,V1.2
38,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Moneyline,Draw,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,3.28,0.3012546542524719,0.0,3.319450789835539,0.3048780487804878,-0.0036233945280159108,-0.011884734051892276,-1.1884734051892276,0.88,"Derived, live validation building",34.932904253542446,0.0,19.961659573452824,PASS,1.2501010184685135,1.0561814651850812,1-1,V1.2
39,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.06,0.3891032859310175,0.0,2.570011706807549,0.4854368932038835,-0.096333607272866,-0.19844723098210393,-19.844723098210395,1.0,Calibrated O/U 2.5,34.455164296550876,0.0,19.688665312314786,PASS,1.711528284910965,1.5953221354706535,1-1,V1.2
40,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.28,0.3763450600554192,0.0,2.65713598008366,0.4385964912280702,-0.06225143117265103,-0.1419332630736443,-14.19332630736443,1.0,Calibrated O/U 2.5,33.81725300277096,0.0,19.324144573011978,PASS,1.784191412051835,1.6078494387904512,1-1,V1.2
41,2026-10-12,2026-10-12T19:00:00+00:00,6,Coventry City,Newcastle,Spread,Newcastle -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.04,0.4208941564394844,0.0,2.3758942354044743,0.49019607843137253,-0.06930192199188812,-0.14137592086345185,-14.137592086345185,0.84,"Derived, live validation building",33.644707821974215,0.0,19.22554732684241,PASS,1.3243734853700726,1.5609786516883826,1-1,V1.2
42,2026-10-10,2026-10-10T14:00:00+00:00,6,Sunderland,Brighton,Spread,Brighton -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.34,0.3998190521311492,0.0,2.501131436007653,0.4273504273504274,-0.027531375219278176,-0.06442341801311091,-6.442341801311091,0.84,"Derived, live validation building",32.59095260655746,0.0,18.623401489461404,PASS,1.4041577697710648,1.5430447306007036,1-1,V1.2
43,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Spread,Arsenal -1.5,-1.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.99,0.3882103967792068,0.0,2.575922768417627,0.5025125628140703,-0.11430216603486348,-0.2274613104093785,-22.74613104093785,0.84,"Derived, live validation building",32.01051983896034,0.0,18.29172562226305,PASS,1.9909611581945903,0.8778019841215658,2-0,V1.2
